PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2013,60,Complice,Fundacion Del Cine,Estudiantes,27/10/2013,27/10/2013,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-58,50341067","-34,56602706"
2013,61,El Legado De Garibaldi,Idealismo Contenidos Srl,Programa Televisivo,24/10/2013,24/10/2013,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-58,50341067","-34,56602706"
2015,62,Jugos Tang,Montecarlo Films Srl,Cine Publicitario,17/5/2015,17/05/2015,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-58,50341067","-34,56602706"
2015,63,Fotos Honda Biz,Wtf Advertising Sa,Fotografia,20/11/2015,20/11/2015,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-58,50341067","-34,56602706"
2011,64,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,27/10/2011,27/10/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,BOCA,COMUNA 4,1155,C1155AAA,"-58,35948083","-34,62638446"
2011,65,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,3/11/2011,03/11/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,BOCA,COMUNA 4,1155,C1155AAA,"-58,35948083","-34,62638446"
2011,66,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,25/10/2011,25/10/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,BOCA,COMUNA 4,1155,C1155AAA,"-58,35948083","-34,62638446"
2011,67,Dell,Nube Pictures S.R.L.,Cine Publicitario,18/8/2011,18/08/2011,20 DE SETIEMBRE 100,20 DE SETIEMBRE,100,BOCA,COMUNA 4,1155,C1155AAB,"-58,36067337","-34,627603"
2013,68,Celofan,Labhouse S.A.,Video Clip,23/9/2013,23/09/2013,20 DE SETIEMBRE 50,20 DE SETIEMBRE,50,BOCA,COMUNA 4,1155,C1155AAB,"-58,36007094","-34,62698743"
2012,69,En Mi Vida (todos Contentos),Luis Maria Leoncio Barone,Largometraje Con I.N.C.A.A.,3/2/2012,03/02/2012,24 DE NOVIEMBRE 1,24 DE NOVIEMBRE,1,BALVANERA,COMUNA 3,1170,C1170AAA,"-58,41177728","-34,61062881"
2012,70,En Mi Vida (todos Contentos),Luis Maria Leoncio Barone,Largometraje Con I.N.C.A.A.,11/2/2012,11/02/2012,24 DE NOVIEMBRE 1,24 DE NOVIEMBRE,1,BALVANERA,COMUNA 3,1170,C1170AAA,"-58,41177728","-34,61062881"
2011,71,Umbrales,New Generation Entertainment Sa,Programa Televisivo,9/8/2011,09/08/2011,24 DE NOVIEMBRE 2250,24 DE NOVIEMBRE,2250,PARQUE PATRICIOS,COMUNA 4,1242,C1242AAV,"-58,40903875","-34,63729593"
2013,72,La Pareja Del Galicia,Proteina Pura S.A.,Cine Publicitario,12/6/2013,12/06/2013,24 DE NOVIEMBRE 2270,24 DE NOVIEMBRE,2270,PARQUE PATRICIOS,COMUNA 4,1242,C1242AAV,"-58,40903875","-34,63729593"
